rider_name,rider_slug,team_name,cost,predicted_score,role
Tadej Pogacar,tadej-pogacar,UAE Team Emirates,0,332.8,starter
Mathieu van der Poel,mathieu-van-der-poel,Alpecin-Deceuninck,0,285.3,starter
Remco Evenepoel,remco-evenepoel,Soudal Quick-Step,0,297.6,starter
Jasper Philipsen,jasper-philipsen,Alpecin-Deceuninck,0,378.3,starter
Tim Merlier,tim-merlier,Soudal Quick-Step,0,363.1,starter
Paul Magnier,paul-magnier,Soudal Quick-Step,0,298.3,starter
Matthew Brennan,matthew-brennan,Team Visma | Lease a Bike,0,268.1,starter
Hugo Hofstetter,hugo-hofstetter,Israel-Premier Tech,0,282.7,starter
Christophe Laporte,christophe-laporte,Team Visma | Lease a Bike,0,311.1,starter
Matteo Trentin,matteo-trentin,Tudor Pro Cycling Team,0,290.8,starter
Pavel Bittner,pavel-bittner,Team Picnic PostNL,0,278.4,starter
Dylan Groenewegen,dylan-groenewegen,Team Jayco-AlUla,0,350.9,starter
Emilien Jeanniere,emilien-jeanniere,TotalEnergies,0,324.3,bus
Milan Menten,milan-menten,Lotto,0,291.1,bus
Gerben Thijssen,gerben-thijssen,Intermarche-Wanty,0,283.5,bus
Marijn van den Berg,marijn-van-den-berg,EF Education-EasyPost,0,313.3,bus
Dylan Teuns,dylan-teuns,Cofidis,0,327.3,bus
Matyas Kopecky,matyas-kopecky,Team Novo Nordisk,0,354.5,bus
Diego Pescador,diego-pescador,,0,242.4,bus
Filip Orn-Kristoff,filip-orn-kristoff,Uno-X Mobility,0,150.0,bus
